id,nombre,descripcion,precio,moneda_id,cat_id,prov_id
1,Intel i5 12400,Procesador Intel de 12va gen,250000,1,1,1
2,AMD Ryzen 5 5600,Procesador AMD de 6 nucleos,230000,1,1,2
3,Corsair 16GB DDR4,Memoria RAM 3200MHz,85000,1,2,3
4,Kingston NVMe 1TB,SSD M2 de 1TB,120000,1,3,4
5,NVIDIA RTX 4060,Placa de video 8GB,650000,1,4,5
6,Corsair 750W,Fuente certificada 80 Plus,140000,1,5,6
7,Gabinete ATX Gamer,Gabinete con panel lateral,95000,1,6,7
8,Monitor LG 24,Monitor IPS Full HD,210000,1,7,8
9,Teclado Redragon K552,Teclado mecanico,70000,1,8,9
10,Mouse Logitech G203,Mouse gamer RGB,45000,1,9,10
